Institución;URL;status_code
Universidad Gastón Dachary;https://www.ugd.edu.ar/;200.0
Universidad ISALUD;https://www.isalud.edu.ar;200.0
Universidad Juan Agustín Maza;https://www.umaza.edu.ar;200.0
Universidad Maimónides;https://www.maimonides.edu;200.0
Universidad Metropolitana para la Educación y el Trabajo;https://www.umet.edu.ar;200.0
Universidad Notarial Argentina;https://www.universidadnotarial.edu.ar/una/;200.0
Universidad Patagonia Argentina;https://upatagonia.edu.ar;200.0
Universidad Salesiana Argentina;https://www.unisal.edu.ar;200.0
Universidad Torcuato Di Tella;https://www.utdt.edu;200.0
Facultad Latinoamericana de Ciencias Sociales;https://www.flacso.org.ar/;200.0
