nombre;url;doc_language_ok;alt_texts_ok;input_labels_ok;empty_buttons_ok;empty_links_ok;color_contrast_ok;doc_language_fail;alt_texts_fail;input_labels_fail;empty_buttons_fail;empty_links_fail;color_contrast_fail;ratio;clase
Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires;https://www.iusam.edu.ar/;1;0;0;3;204;259;0;10;1;0;6;20;0.9265873015873016;sin_prob_aw
Instituto Universitario de Seguridad;https://iuse.edu.ar/;1;1;0;0;78;108;0;9;0;0;6;41;0.7704918032786885;sin_prob_aw
Instituto Universitario Escuela Argentina de Negocios;https://www.uean.edu.ar/;1;3;0;2;170;243;0;7;10;0;0;50;0.8621399176954733;sin_prob_aw
Instituto Universitario Escuela de Medicina del Hospital Italiano;https://www.hospitalitaliano.org.ar/educacion/index.php;0;0;0;0;1;1;1;0;0;0;3;0;0.3333333333333333;con_prob_aw
Instituto Universitario Escuela Superior de Economía y Administración de Empresas;https://www.eseade.edu.ar;1;55;0;10;164;244;0;12;0;0;18;23;0.8994307400379506;sin_prob_aw
Instituto Universitario Italiano de Rosario;https://www.iunir.edu.ar;1;0;0;0;0;0;0;0;0;0;0;0;1.0;sin_prob_aw
Instituto Universitario para el Desarrollo Productivo y Tecnológico Empresarial de la Argentina;https://www.iudpt.edu.ar;1;54;5;4;155;270;0;30;4;1;17;45;0.8344709897610921;sin_prob_aw
Instituto Universitario River Plate;https://iuriverplate.edu.ar/;1;18;0;1;104;157;0;0;1;10;8;52;0.7982954545454546;sin_prob_aw
Instituto Universitario YMCA;https://iuymca.edu.ar/;1;38;0;0;72;70;0;9;0;0;6;12;0.8701923076923077;sin_prob_aw
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires;https://www.uca.edu.ar;1;8;0;0;333;336;0;125;3;8;29;62;0.7491712707182321;con_prob_aw
Universidad Abierta Interamericana;https://www.uai.edu.ar;1;134;0;27;594;770;0;0;10;0;11;154;0.897119341563786;sin_prob_aw
Universidad Adventista del Plata;https://uap.edu.ar/;1;9;0;2;98;125;0;7;4;1;29;20;0.793918918918919;sin_prob_aw
Universidad Argentina de la Empresa;https://www.uade.edu.ar;0;34;7;1;181;346;1;2;6;15;0;56;0.8767334360554699;sin_prob_aw
Universidad Argentina John F. Kennedy;https://www.kennedy.edu.ar/;1;3;0;6;144;399;0;20;13;0;11;125;0.7659279778393352;sin_prob_aw
Universidad Atlántida Argentina;https://www.atlantida.edu.ar/;1;13;0;0;159;177;0;6;1;0;2;42;0.8728179551122195;sin_prob_aw
Universidad Austral;https://www.austral.edu.ar;1;11;1;1;309;449;0;38;1;0;0;32;0.9157769869513642;sin_prob_aw
Universidad CAECE;https://www.ucaece.edu.ar;1;1;0;2;151;106;0;16;0;0;7;138;0.6184834123222749;con_prob_aw
Universidad Católica de Córdoba;https://www.ucc.edu.ar;1;56;3;8;148;565;0;2;4;5;10;99;0.8668146503884573;sin_prob_aw
Universidad Católica de Cuyo;https://www.uccuyo.edu.ar;1;2;0;4;25;154;0;53;2;2;1;37;0.6619217081850534;con_prob_aw
Universidad Católica de las Misiones;https://www.ucami.edu.ar;0;12;0;0;135;48;1;36;2;0;4;83;0.6074766355140186;con_prob_aw
Universidad Católica de Salta;https://www.ucasal.edu.ar/;1;0;1;2;235;427;0;17;5;0;6;27;0.9237170596393898;sin_prob_aw
Universidad Católica de Santa Fe;https://www.ucsf.edu.ar/;1;1;1;2;94;67;0;16;15;3;25;316;0.3068391866913124;con_prob_aw
Universidad Champagnat;https://www.uch.edu.ar;1;0;0;1;192;161;0;19;0;0;5;113;0.7215447154471545;con_prob_aw
Universidad de Belgrano;https://www.ub.edu.ar/;1;14;0;11;162;370;0;2;0;0;3;51;0.9087947882736156;sin_prob_aw
Universidad de Ciencias Empresariales y Sociales;https://www.uces.edu.ar;1;0;0;7;120;413;0;26;4;5;12;2;0.9169491525423729;sin_prob_aw
Universidad de Congreso;https://www.ucongreso.edu.ar/;1;2;2;6;188;151;0;26;2;1;13;71;0.755939524838013;sin_prob_aw
Universidad de Flores;https://www.uflo.edu.ar;1;3;1;7;70;170;0;9;1;2;0;3;0.9438202247191011;sin_prob_aw
Universidad del Aconcagua;https://www.uda.edu.ar;1;28;0;3;237;285;0;2;0;0;5;34;0.9310924369747899;sin_prob_aw
Universidad de la Cuenca del Plata;https://www.ucp.edu.ar;1;5;0;0;77;106;0;42;0;1;6;34;0.6948529411764706;con_prob_aw
Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino;https://www.ufasta.edu.ar/;1;4;0;1;296;227;0;4;1;0;8;119;0.800302571860817;sin_prob_aw
Universidad de la Integración Sudamericana;https://unisud.edu.ar/;1;2;0;1;48;25;0;10;0;3;19;51;0.48125;con_prob_aw
Universidad de la Marina Mercante;https://www.udemm.edu.ar;1;21;0;9;112;117;0;7;5;0;5;72;0.7449856733524355;con_prob_aw
Universidad del CEMA;https://www.ucema.edu.ar/;1;18;1;1;115;143;0;2;0;3;1;31;0.8829113924050633;sin_prob_aw
Universidad del Centro Educativo Latinoamericano;https://www.ucel.edu.ar;1;22;0;2;263;196;0;8;1;7;1;102;0.802653399668325;sin_prob_aw
Universidad del Cine;https://www.ucine.edu.ar;1;5;0;0;125;99;0;34;0;0;35;82;0.6036745406824147;con_prob_aw
Universidad del Este;https://www.ude.edu.ar;1;4;0;2;99;107;0;14;0;0;9;42;0.7661870503597122;sin_prob_aw
Universidad del Museo Social Argentino;https://www.umsa.edu.ar;1;25;4;10;113;202;0;9;1;7;17;27;0.8533653846153846;sin_prob_aw
